Row LabelsSum of Order Price,,,,,,,,,
"Grand Total1,199,708,905.01",,,,,,,,,
Row Labels,Sum of Order Price,,,,,,,,
COEGA,556737.50,,,,,,,,
BEE SMART TRADERS,2337.50,,,,,,,,
HEALTH FOR ALL PTY LTD,554400.00,,,,,,,,
COGTA,686691.66,,,,,,,,
AMATOLA CLEANING SUPPLIES,285135.98,,,,,,,,
Evergreen Latex,49850.00,,,,,,,,
Faku Investigation & Assesors,18846.00,,,,,,,,
Promed Technologies,16200.00,,,,,,,,
TIME Clothing,53174.16,,,,,,,,
Tripple N Medical Distributors (Pty) LTD,163085.52,,,,,,,,
Zepzamo Trading,100400.00,,,,,,,,
DEDEAT,191664.00,,,,,,,,
Alon Trading,24284.00,,,,,,,,
Lugaju Innovation,167380.00,,,,,,,,
DHS,337738.52,,,,,,,,
ALLENCO MEDICAL AND DENTAL SUPPLIERS,24897.50,,,,,,,,
Ditsibi Procurement,312841.02,,,,,,,,
DOE,545420441.74,,,,,,,,
70R7 PROJRCTS AND CONSTRUCTIONS,1758628.74,,,,,,,,
ABSOLUTE VISION TRADING ENTERPRISE CC,2828722.84,,,,,,,,
AFRICAN COMPASS TRADING R342 CC,1527537.00,,,,,,,,
AFRIKA MZALIWETHU PROJECTS,1694568.25,,,,,,,,
AFRIKA RISE INVESTMENTS (PTY) LTD,3175212.99,,,,,,,,
AFRO LIVE LINE CONTRACTOR (PTY) LTD,2381261.48,,,,,,,,
AKIBAR TRADING AND PROJECTS,2371180.15,,,,,,,,
ALAKANI HOLDINGS (PTY) LTD,1718520.22,,,,,,,,
ALINANI TRADING,2785275.80,,,,,,,,
ALZ Printing and Stationery Shop (Pty) Ltd,1898071.00,,,,,,,,
AMABONGWE BUILDING AND CIVIL,1904316.04,,,,,,,,
AMAHLUNGU CIVIL,1541832.68,,,,,,,,
AMANDL'ENTOMBI TRADING & PROJECTS (PTY)LTD,2222371.83,,,,,,,,
AMANYAWUZA TRADING AND DEVELOPMENT (PTY) LTD,2225049.52,,,,,,,,
AMINA CHEM (PTY)LTD,1158844.91,,,,,,,,
AMKELWE TRADING,2028696.91,,,,,,,,
AMPLIFY VENTURES (PTY) LTD,2377702.39,,,,,,,,
AMS RHUDULU PROJECTS (PTY) LTD,2205932.74,,,,,,,,
Anam and Lulo Trading (Pty) Ltd,3560589.16,,,,,,,,
ANDILE SG TRADING AND PROJECTS,1916989.39,,,,,,,,
ARISE CONSULTING (PTY) LTD,2966285.66,,,,,,,,
ATHITONI TRADING ENTERPRISE (PTY) LTD,1617146.69,,,,,,,,
ATLEHANG BASADI BUILDING AND CONSTRUCTION,1423603.38,,,,,,,,
AVG INVESTMENT,2029483.74,,,,,,,,
AVUMILE BUSINESS INVESTMENTS,3246651.97,,,,,,,,
