Corprate Governance and Traditional Affairs,,,,,
Description of Items,,Quantity,Total Value,,Service Provider Name
Mask - N95,,,,,
Mask - Surgical,,4 000,R 106 600,,Bioloica Pharmaceuticals (PTY) LTD
Gloves - Surgical & Examination - Natural Rubber Latex,,40,R 1 840,,PROMED TECHNOLOGIES
Gloves - Heavy Duty,,20,,,Bidvest Steiner
Mask - Other,,400,R 14 000,,SOLID SWEET
Mask - Other,,1 000,R 28 750,,PRODUCTION X
Aprons,,4 000,R 1 280,,"Commodity not specified (ml's and alcohol
volume not specified)"
Medical Hand Sanitisers ( 70% Alcohol base) 500ml,,400,R 39 400,,TARA TECHNOLOGIES CC
"Medical Hand Sanitisers (Refill ) -  ( 70% Alcohol base) 25
litre",,10,R 34 500,,"LOGAN MEDICAL AND SURGICAL
SUPPLIES CC"
"Medical Hand Sanitisers (Refill ) -  ( 70% Alcohol base) 25
litre",,15,R 27 000,,SOLID SWEET
Disinfectants 25 litre,,10,,,BIOLOGICA PHARMACEUTICAL
Temperature Scanners,,10,,,BIOLOGICA PHARMACEUTICALS
Temperature Scanners,,20,R 20 631,,SUPREME MEDICAL SOLUTIOMS
Spray Machines/Bottles,,20,R 211,,Bidvest Steiner
Spray Machines/Bottles,,30,R 707,,SAKKIES & PAKKIES CC
Spray Machines/Bottles,,30,R 276,,SAKKIES & PAKKIES CC
Spray Machines/Bottles,,20,R 245,,Bidvest Steiner
Other: Specify,Liquid Disp 1lt E Valve System,30,R 660,,Bidvest Steiner
Other: Specify,Anti Bacteria Soap,60,R 1 420,,Bidvest Steiner
Total,,10115,R 277 521,,
