TOTAL, 55194400.84,,,,,,,,
PROVINCE,(All),,,,,,,,
DISTRICT,(All),,,,,,,,
LOCALITY,(All),,,,,,,,
Row Labels,Sum of AMOUNT,,,,,,,,
April,55194400.84,,,,,,,,
Bambisana Hospital,5804729.33,,,,,,,,
Thiyane Contractors,5804729.33,,,,,,,,
Bambisana Hospital Phase 2,448160.00,,,,,,,,
Zamatita Construction and Projects,448160.00,,,,,,,,
Butterworth,2478856.05,,,,,,,,
Mabija Building and Civil Construction,2478856.05,,,,,,,,
Cecilia Makiwane,707400.00,,,,,,,,
Gardens to Floors,707400.00,,,,,,,,
Cecilia Makiwane Phase 2,2791995.17,,,,,,,,
Gardens to Floors,2791995.17,,,,,,,,
Dora Ngindza,317405.75,,,,,,,,
Mathew and Sons Construction,317405.75,,,,,,,,
Dora Ngindza Phase 2,5065261.00,,,,,,,,
Skhothahla Construction and Investment,5065261.00,,,,,,,,
Empilisweni Hospital,5634146.70,,,,,,,,
Imvusa Trading 491,5634146.70,,,,,,,,
Frontier Hospital,395489.00,,,,,,,,
Evermore Engineering and Projects,395489.00,,,,,,,,
Grey Hospital,461989.50,,,,,,,,
Mom and Daughters Trading Enterprises,461989.50,,,,,,,,
Humansdorp Hospital,3506350.00,,,,,,,,
Simunye Developers,3506350.00,,,,,,,,
Isilimela Hospital,915705.90,,,,,,,,
Noziqonga Trading,915705.90,,,,,,,,
Joubertina Hospital,2323000.00,,,,,,,,
Odwa and Solie,2323000.00,,,,,,,,
Maclear Hospital,3671864.90,,,,,,,,
Sakhe Construction,3671864.90,,,,,,,,
Madzikane-ka-Zulu,332916.50,,,,,,,,
Mabuz Buzwana Holdings,332916.50,,,,,,,,
Midlands Hospital,1359316.00,,,,,,,,
Esotho Trading,1359316.00,,,,,,,,
Mt Ayliff Hospital,2188335.00,,,,,,,,
SQT Construction and Civils,2188335.00,,,,,,,,
Ngqamakhwe CMH,143246.40,,,,,,,,
Antivirus Trading,143246.40,,,,,,,,
Nompumelelo Hospital,254237.00,,,,,,,,
SNZN Construction,254237.00,,,,,,,,
Sir Henry,5868223.74,,,,,,,,
Athindura Trading,5868223.74,,,,,,,,
Sir Henry (Mthatha General),1799931.01,,,,,,,,
Athindura Trading,1799931.01,,,,,,,,
SS Gida Hospital,283237.24,,,,,,,,
Nontembiso Projects,283237.24,,,,,,,,
St Barnabas,2819941.16,,,,,,,,
Milibo Trading and Projects,2819941.16,,,,,,,,
St Elizabeth,844991.25,,,,,,,,
Vitsha Trading,844991.25,,,,,,,,
St Elizabeth Phase 2,487699.00,,,,,,,,
Phalela Construction,487699.00,,,,,,,,
Taylour Bequest,1655855.00,,,,,,,,
SQT Construction and Civils,1655855.00,,,,,,,,
Victoria Hospital,664501.74,,,,,,,,
NLG Group,664501.74,,,,,,,,
Victoria Hospital Phase 2,992105.00,,,,,,,,
2KS Construction and Projects,992105.00,,,,,,,,
Zithulele Hospital,977511.50,,,,,,,,
Botani Construction,977511.50,,,,,,,,
(blank),,,,,,,,,
(blank),,,,,,,,,
May,136743399.55,,,,,,,,
Aliwal North Hospital,31203516.52,,,,,,,,
Stermount Projects,31203516.52,,,,,,,,
Bambisana Hospital Phase 3,124792.25,,,,,,,,
Khanya Trading and Projects,124792.25,,,,,,,,
Madwaleni Hospital,19735588.37,,,,,,,,
Anopha Design ARC,19735588.37,,,,,,,,
Mlamlii Hospital,43769699.41,,,,,,,,
Qhakaza Africa Consulting,43769699.41,,,,,,,,
Nompumelelo Hospital Phase 2,730716.02,,,,,,,,
SNZN Construction,730716.02,,,,,,,,
St Lucy Hospital,39672526.13,,,,,,,,
PDN Afrika JV,39672526.13,,,,,,,,
Willomore Hospital,1506560.85,,,,,,,,
Erivision Pty Ltd,1506560.85,,,,,,,,
(blank),,,,,,,,,
(blank),,,,,,,,,
June,91721543.45,,,,,,,,
All Saints Hospital,6402652.03,,,,,,,,
Oguyonke Catering and Construction,6402652.03,,,,,,,,
"Dr Malizompehle Hosiptal, Tsolo",4948162.20,,,,,,,,
MRQ Contractrors,4948162.20,,,,,,,,
Empilweni Hospital,4889649.35,,,,,,,,
Goavect,4889649.35,,,,,,,,
Frere Hospital : East London,6578916.55,,,,,,,,
Mathew and Sons Construction,6578916.55,,,,,,,,
Glen Grey : Lady Frere,5425180.87,,,,,,,,
Waving High Trading and Projects,5425180.87,,,,,,,,
"Hewu Hospital, Whittlesea",4104375.82,,,,,,,,
Silver Star Trading 437,4104375.82,,,,,,,,
"Isilimela Hospital, Port St Johns",2056268.00,,,,,,,,
JVPS Trading Enterprise,1691428.00,,,,,,,,
McCauley Trading and Construction,364840.00,,,,,,,,
Komani Hospital Phase 1,5344036.01,,,,,,,,
Cycle Civil and Projects,5344036.01,,,,,,,,
"Livingstone Hospital, Port Elizabeth",11656006.93,,,,,,,,
SNZN JV Imbumba Development,11656006.93,,,,,,,,
Nessie Knight Hospital: Qumbu,5291616.90,,,,,,,,
Mayibuye i-Afrika Trading,5291616.90,,,,,,,,
Orsmond Hospital: Sarah Baartman,3036752.30,,,,,,,,
Oxegon Electrical and Maintenance,3036752.30,,,,,,,,
"Sir Henry Elliot Hospital, Mthatha",2731787.34,,,,,,,,
Magz Projects,2731787.34,,,,,,,,
"St Barnabas Hospital, Libode",784362.67,,,,,,,,
Khethekanye Trading and Projects 347,784362.67,,,,,,,,
