"Arts, Culture,Sports and Recreation",,Actual Procured,,,
Description of Items,,Quantity,Total Value,,Service Provider Name
Mask - Other,,1 472,R 58 880,,Trojan Horse Capitals
Goggles / Face-Shield / Viser,,1 472,R 132 038,,Setlaleleng Trading
Decontamination of Office Spaces,,1,R 63 500,,Gudani Industrial
Decontamination of Office Spaces,,1,R 80 500,,Akim Holdings
Decontamination of Office Spaces,,1,R 26 450,,NVM Construction
Decontamination of Office Spaces,,1,R 84 735,,Bonno Trading
Floor Standing Automatic Hand Sanitizer Dispensers,,1,R 28 540,,TKTshidiso Trading
Floor Standing Automatic Hand Sanitizer Dispensers,,1,R 50 108,,Red Neo Trading
Floor Standing Automatic Hand Sanitizer Dispensers,,,R 97 000,,Striving Mind Trading 62
Temperature Scanners,,50,R 90 820,,Molemi Transportation
Decontamination of Office Spaces,,1,R 63 597,,Marumos Construction
Decontamination of Office Spaces,,1,R 99 581,,LSG Medical Logistics
Decontamination of Office Spaces,,1,R 123 214,,Ndakes Cleaning
Decontamination of Office Spaces,,1,R 9 750,,NVM Construction
Decontamination of Office Spaces,,1,R 150 000,,Liswa Lisa Events Management
Decontamination of Office Spaces,,1,R 273 780,,Segas TTT
Decontamination of Office Spaces,,1,R 74 630,,Resolofetse Boitumelo Trading
Decontamination of Office Spaces,,1,R 185 150,,Gontse Transport Management
Decontamination of Office Spaces,,1,R 119 520,,Ponzana Felicia Business
Decontamination of Office Spaces,,1,R 112 959,,Ketlareng Trading
Decontamination of Office Spaces,,1,R 24 300,,Balebabedi Construction
Decontamination of Office Spaces,,1,R 34 210,,Tukies B & B
Decontamination of Office Spaces,,1,R 63 900,,MBFK
Decontamination of Office Spaces,,1,R 19 012,,Kgosithato Trading
Decontamination of Office Spaces,,1,R 182 260,,Ponong 677 Projects
Decontamination of Office Spaces,,1,R 20 425,,Siyamkelo Terading
Decontamination of Office Spaces,,1,R 35 311,,Ketlareng Trading
Decontamination of Office Spaces,,1,R 45 600,,Keaga Projects
Wall Mounted Automatic Hand Sanitizer Dispensers,,25,R 72 200,,Lenong General Projects
Decontamination of Office Spaces,,1,R 10 650,,Bevland
Decontamination of Office Spaces,,1,R 156 000,,Ndakes Cleaning
Decontamination of Office Spaces,,1,R 67 860,,EmaxSebogodi
Decontamination of Office Spaces,,1,R 54 064,,Karabs Trading
Decontamination of Office Spaces,,1,R 18 240,,Morwa Mantshiyo Trading
Other: Specify,"Supply and Delivery of Protective
Shield/Glass for Reception desk at Dr.
KK District Office",1,R 13 700,,Pulenyane Construction
Other: Specify,"Supply and Delivery of Sanitizers for
Library & Archives, District and
Community Libraries",1,R 281 684,,Striving Mind Trading 62
Other: Specify,"Supply and Delivery of Sanitizers for
NMMD and Service Points",1,R 131 330,,Lukhala Projects
Other: Specify,"Procurement of dispenser stand and
bottles",25,R 14 992,,Best Groovers Trading
Other: Specify,"Radio Promo on Motsweding FM for
COVID-19 Social Relief Fund",1,R 148 900,,Jua-Kali Trading and Projects
Other: Specify,"Promo on community radio station for
COVID-19 Social Relief Fund",5,R 148 255,,Tlhapi Media and Communications
